signal_date,eval_date,idx,t_idx,equity_before,cash,realized_ret_next,target_weights,actual_weights_after_rebalance
2026-01-30,2026-02-02,0,19,100000.0,-19.99985455443675,0.0031527186143266257,"[0.04446136235540346, 4.361373178795742e-15, 6.481971227163032e-15, 0.9555386376445857, 0.0]","[0.044470255633049606, 0.0, 0.0, 0.9557297829202054, 0.0]"
2026-02-02,2026-02-03,1,20,100295.20880708956,-1.438310108319456,0.0024315909243842015,"[0.07827122980798275, 0.0, 4.039468208972106e-16, 0.9217287701920168, 0.0]","[0.07827235127068324, 0.0, 0.0, 0.9217419897008593, 0.0]"
2026-02-03,2026-02-04,2,21,100537.64390026439,616.4986367750137,0.0030069537012216772,"[0.07377086292120344, 4.4038571288086104e-16, 1.0106913278551762e-15, 0.9262291370787915, 3.680960168690431e-15]","[0.0767486058489474, 0.0, 0.0, 0.9171193686643682, 0.0]"
2026-02-04,2026-02-05,3,22,100839.8319568947,-4314.3503944210015,-0.005034166248627466,"[0.018787814034983277, 0.3644937275059241, 1.7958292798246796e-15, 0.574819816375532, 0.04189864208355878]","[0.061428581874310564, 0.36454943333971984, 0.0, 0.5749076674347576, 0.041905044769627926]"
2026-02-05,2026-02-06,4,23,100316.85592316458,29348.890638050336,0.006991497626244565,"[0.01547923079228523, 0.6544181509957542, 7.909424254871206e-16, 0.30260660048666677, 0.027496017725293195]","[0.015480269955818277, 0.3618134035134105, 0.0, 0.30262691507842476, 0.02749786460635955]"
2026-02-06,2026-02-09,5,24,101011.43990750809,45290.95001472246,-0.0004947794995086943,"[4.480992947655904e-15, 0.309225494517358, 0.44840603377551846, 0.2423684717071192, 0.0]","[3.4330884420605633e-10, 0.3092352575898022, 0.0, 0.24237612400762676, 4.1741789136790425e-18]"
2026-02-09,2026-02-10,6,25,100958.27404601715,46897.56614882437,-0.0007717883167380673,"[0.0, 0.3275892567268835, 0.566004784831985, 0.10640595844113156, 0.0]","[3.520979094070404e-10, 0.3223890625452563, 0.0, 0.21308307302557386, 4.206753040823999e-18]"
2026-02-10,2026-02-11,7,26,100879.56994418806,72373.21320374937,0.0010167444452537052,"[0.06917267886609897, 0.0, 0.0, 0.930827321133901, 0.0]","[0.06917808787474859, 9.030036140919095e-10, 0.0, 0.21334390576328463, 4.2056195412952675e-18]"
2026-02-11,2026-02-12,8,27,100974.24271551849,-4868.121986595506,-0.0024648758206378034,"[0.0, 0.09670934611351435, 0.18328409478475538, 0.6621713776309742, 0.05783518147075599]","[0.06989577621931535, 0.09672414075511446, 0.18331213353498643, 0.6622726796041388, 0.03601416814329594]"
2026-02-12,2026-02-13,9,28,100709.94663858513,17467.971399064434,0.0027139111089405543,"[0.09978836285217275, 0.0, 0.0, 0.9002116371477911, 3.616691729938079e-14]","[0.09979407478439009, 0.02760555805556588, 0.0, 0.6636996317904771, 0.03544248190078991]"
2026-02-13,2026-02-17,10,29,100977.48346029459,42211.618977966544,0.0011821216732662834,"[0.013678397777110508, 0.11922072731638478, 0.45257620834269524, 0.41452466656380954, 0.0]","[0.013679184891752339, 0.048827660307803625, 0.0, 0.5053506411358735, 0.014088447661852962]"
2026-02-17,2026-02-18,11,30,101091.03507044789,-9.19165205538502,0.0051137673094541645,"[0.008614899741539585, 0.32226254761990075, 0.09035342043963338, 0.5787691321989262, 0.0]","[0.008615683579924, 0.32229185162186397, 0.09036163620257152, 0.5788217604561408, 9.098641051813699e-10]"
2026-02-18,2026-02-19,12,31,101598.75244280495,36302.8611316484,0.0010314337196280657,"[0.06308732069466266, 1.041471299866242e-14, 1.6122883696056184e-15, 0.9369126793053204, 4.9623658087420794e-15]","[0.06309320229660458, 2.41706287383395e-10, 1.0105546039725268e-09, 0.5795574670632682, 9.225036473974764e-10]"
2026-02-19,2026-02-20,13,32,101694.06301336024,61112.80578880866,0.00017618605122766097,"[0.029947942534526366, 4.84140286153097e-15, 0.6009964334161423, 0.3690556240493224, 4.02058265483532e-15]","[0.029949405109928884, 2.4083134116296565e-10, 1.0105770399749706e-09, 0.36907363677626176, 9.283031193059251e-10]"
2026-02-20,2026-02-23,14,33,101707.01623282,39949.17285585544,-0.0024486544769160077,"[0.0, 0.23855919824715857, 0.6660658305817024, 0.09537497117110669, 3.217796153347889e-14]","[3.500120188841531e-10, 0.2385720375937409, 1.0080828907745218e-09, 0.36862002593044946, 9.231294594651936e-10]"
2026-02-23,2026-02-24,15,34,101452.51066937894,22800.958385087975,0.004024652300401391,"[0.0, 0.5307669685774237, 0.22482897610626554, 0.24440405531631085, 4.1444853474967056e-17]","[3.6025456545682367e-10, 0.5308114694982602, 1.01436528329604e-09, 0.24442454790822923, 9.300150402685834e-10]"
2026-02-24,2026-02-25,16,35,101852.28204840128,21757.07764843987,0.004081188112557459,"[0.019223295667707054, 0.5039486492639865, 0.0, 0.4768280550683062, 1.4938044930296038e-16]","[0.019223403761274713, 0.5235355328355039, 1.0121046587915823e-09, 0.24362581460345328, 9.254520401753251e-10]"
