date,action,order_id,payload
2026-01-30,sent,ORD00000001,"{'symbol': 'GLD', 'side': 'buy', 'qty': 39.967766999999995, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-01-30', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000001', 'remaining_qty': 39.967766999999995, 'status': 'open'}"
2026-01-30,sent,ORD00000002,"{'symbol': 'UUP', 'side': 'buy', 'qty': 962.195018, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-01-30', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000002', 'remaining_qty': 962.195018, 'status': 'open'}"
2026-01-30,filled,ORD00000001,"{'order_id': 'ORD00000001', 'symbol': 'GLD', 'side': 'buy', 'status': 'filled', 'requested_qty': 39.967766999999995, 'filled_qty': 39.967766999999995, 'remaining_qty': 0.0, 'fill_price': 111.2652949919677, 'event_date': '2026-01-30', 'reason': 'randomized_matching_sim'}"
2026-01-30,filled,ORD00000002,"{'order_id': 'ORD00000002', 'symbol': 'UUP', 'side': 'buy', 'status': 'filled', 'requested_qty': 962.195018, 'filled_qty': 962.195018, 'remaining_qty': 0.0, 'fill_price': 99.32807038201605, 'event_date': '2026-01-30', 'reason': 'randomized_matching_sim'}"
2026-02-02,sent,ORD00000003,"{'symbol': 'UUP', 'side': 'sell', 'qty': 36.121553, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-02', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000003', 'remaining_qty': 36.121553, 'status': 'open'}"
2026-02-02,sent,ORD00000004,"{'symbol': 'GLD', 'side': 'buy', 'qty': 33.607794, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-02', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000004', 'remaining_qty': 33.607794, 'status': 'open'}"
2026-02-02,filled,ORD00000003,"{'order_id': 'ORD00000003', 'symbol': 'UUP', 'side': 'sell', 'status': 'filled', 'requested_qty': 36.121553, 'filled_qty': 36.121553, 'remaining_qty': 0.0, 'fill_price': 99.80470670246865, 'event_date': '2026-02-02', 'reason': 'randomized_matching_sim'}"
2026-02-02,filled,ORD00000004,"{'order_id': 'ORD00000004', 'symbol': 'GLD', 'side': 'buy', 'status': 'filled', 'requested_qty': 33.607794, 'filled_qty': 33.607794, 'remaining_qty': 0.0, 'fill_price': 106.7174911378164, 'event_date': '2026-02-02', 'reason': 'randomized_matching_sim'}"
2026-02-03,sent,ORD00000005,"{'symbol': 'GLD', 'side': 'sell', 'qty': 8.0992, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-03', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000005', 'remaining_qty': 8.0992, 'status': 'open'}"
2026-02-03,rejected,ORD00000006,"{'reason': 'insufficient_cash', 'symbol': 'UUP', 'side': 'buy', 'qty': 9.199859, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-03', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000006', 'remaining_qty': 9.199859, 'status': 'rejected'}"
2026-02-03,filled,ORD00000005,"{'order_id': 'ORD00000005', 'symbol': 'GLD', 'side': 'sell', 'status': 'partial', 'requested_qty': 8.0992, 'filled_qty': 5.45634714197495, 'remaining_qty': 2.6428528580250497, 'fill_price': 113.25103238568285, 'event_date': '2026-02-03', 'reason': 'randomized_matching_sim'}"
2026-02-03,cancelled,ORD00000005,{'reason': 'cancel_remainder_after_partial'}
2026-02-04,sent,ORD00000007,"{'symbol': 'GLD', 'side': 'sell', 'qty': 51.381910999999995, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-04', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000007', 'remaining_qty': 51.381910999999995, 'status': 'open'}"
2026-02-04,sent,ORD00000008,"{'symbol': 'UUP', 'side': 'sell', 'qty': 345.832835, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-04', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000008', 'remaining_qty': 345.832835, 'status': 'open'}"
2026-02-04,sent,ORD00000009,"{'symbol': 'SPY', 'side': 'buy', 'qty': 365.438726, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-04', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000009', 'remaining_qty': 365.438726, 'status': 'open'}"
2026-02-04,sent,ORD00000010,"{'symbol': 'XLE', 'side': 'buy', 'qty': 35.874797, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-04', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000010', 'remaining_qty': 35.874797, 'status': 'open'}"
2026-02-04,filled,ORD00000007,"{'order_id': 'ORD00000007', 'symbol': 'GLD', 'side': 'sell', 'status': 'partial', 'requested_qty': 51.381910999999995, 'filled_qty': 13.40334055242599, 'remaining_qty': 37.97857044757401, 'fill_price': 113.17122871952142, 'event_date': '2026-02-04', 'reason': 'randomized_matching_sim'}"
2026-02-04,cancelled,ORD00000007,{'reason': 'cancel_remainder_after_partial'}
2026-02-04,filled,ORD00000008,"{'order_id': 'ORD00000008', 'symbol': 'UUP', 'side': 'sell', 'status': 'filled', 'requested_qty': 345.832835, 'filled_qty': 345.832835, 'remaining_qty': 0.0, 'fill_price': 99.87777105970218, 'event_date': '2026-02-04', 'reason': 'randomized_matching_sim'}"
