Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,143.949997,143.949997,144.210007,143.399994,143.860001,7733800
2020-01-03,145.860001,145.860001,146.320007,145.399994,145.750000,12272800
2020-01-06,147.389999,147.389999,148.479996,146.949997,148.440002,14403300
2020-01-07,147.970001,147.970001,148.139999,147.429993,147.570007,7978500
2020-01-08,146.860001,146.860001,148.610001,146.139999,148.490005,22248500
2020-01-09,146.029999,146.029999,146.410004,145.440002,146.070007,10292300
2020-01-10,146.910004,146.910004,146.990005,146.169998,146.220001,6183300
2020-01-13,145.820007,145.820007,146.380005,145.779999,146.350006,7593800
2020-01-14,145.690002,145.690002,145.809998,145.080002,145.419998,6589700
2020-01-15,146.539993,146.539993,146.729996,145.820007,146.210007,6510000
2020-01-16,146.309998,146.309998,146.470001,145.759995,146.270004,6069100
2020-01-17,146.580002,146.580002,146.990005,146.309998,146.509995,11121100
2020-01-21,146.740005,146.740005,146.860001,145.550003,145.770004,6086100
2020-01-22,146.789993,146.789993,146.809998,146.380005,146.679993,4778200
2020-01-23,147.119995,147.119995,147.619995,146.619995,147.000000,8419800
2020-01-24,147.979996,147.979996,148.380005,146.889999,146.899994,9919900
2020-01-27,148.990005,148.990005,149.320007,148.460007,149.240005,9988100
2020-01-28,147.660004,147.660004,148.559998,147.529999,148.360001,7543100
2020-01-29,148.460007,148.460007,148.559998,147.610001,147.699997,5013100
2020-01-30,148.470001,148.470001,149.309998,148.009995,148.690002,9119500
2020-01-31,149.330002,149.330002,149.679993,148.809998,148.880005,14788300
2020-02-03,148.360001,148.360001,148.779999,147.679993,148.660004,9105300
2020-02-04,146.429993,146.429993,147.029999,145.800003,146.970001,10525600
2020-02-05,146.610001,146.610001,146.809998,146.160004,146.380005,6160700
2020-02-06,147.399994,147.399994,147.630005,147.000000,147.279999,4819800
2020-02-07,147.789993,147.789993,148.179993,147.339996,147.830002,6379300
2020-02-10,148.169998,148.169998,148.449997,147.910004,148.210007,5793600
2020-02-11,147.660004,147.660004,148.160004,147.009995,148.029999,5179400
2020-02-12,147.539993,147.539993,147.809998,147.160004,147.419998,5040600
2020-02-13,148.380005,148.380005,148.580002,147.949997,148.240005,7082100
2020-02-14,149.000000,149.000000,149.130005,148.630005,148.740005,5345400
2020-02-18,150.910004,150.910004,151.089996,149.470001,149.880005,11524900
2020-02-19,151.789993,151.789993,151.820007,150.820007,151.000000,9269800
2020-02-20,152.410004,152.410004,152.830002,151.949997,152.000000,8457300
2020-02-21,154.699997,154.699997,155.220001,154.179993,154.429993,16344500
2020-02-24,156.089996,156.089996,158.529999,155.360001,158.500000,27171000
2020-02-25,153.300003,153.300003,156.080002,152.910004,155.119995,28091500
2020-02-26,153.970001,153.970001,155.279999,152.899994,153.820007,17912500
2020-02-27,154.000000,154.000000,156.270004,153.899994,155.580002,27878500
2020-02-28,148.380005,148.380005,152.770004,147.050003,152.710007,42699600
2020-03-02,149.199997,149.199997,150.729996,149.039993,150.000000,16295400
2020-03-03,153.889999,153.889999,155.240005,150.740005,150.839996,28687700
2020-03-04,154.160004,154.160004,154.960007,153.699997,154.399994,12315500
2020-03-05,157.490005,157.490005,157.619995,155.720001,156.059998,17973500
2020-03-06,157.550003,157.550003,159.250000,154.539993,158.330002,26973400
2020-03-09,157.809998,157.809998,159.369995,156.330002,158.600006,24868700
2020-03-10,154.479996,154.479996,156.410004,154.389999,156.179993,18811500
2020-03-11,153.929993,153.929993,156.500000,153.610001,156.250000,18159900
2020-03-12,147.789993,147.789993,151.550003,146.850006,151.529999,32893400
2020-03-13,143.279999,143.279999,149.600006,141.580002,149.419998,35177200
2020-03-16,141.639999,141.639999,142.960007,136.119995,137.559998,24496000
2020-03-17,143.559998,143.559998,146.199997,139.929993,140.179993,24490300
2020-03-18,140.699997,140.699997,142.880005,138.500000,141.750000,21953400
2020-03-19,138.039993,138.039993,140.500000,137.850006,139.080002,20828900
2020-03-20,140.110001,140.110001,141.169998,139.139999,140.710007,20056000
2020-03-23,146.300003,146.300003,146.929993,142.279999,142.679993,28275200
2020-03-24,153.399994,153.399994,155.660004,152.050003,153.500000,20743500
2020-03-25,151.300003,151.300003,152.880005,151.009995,152.580002,16457200
2020-03-26,153.240005,153.240005,154.809998,152.080002,153.309998,12778200
2020-03-27,152.250000,152.250000,153.550003,152.000000,153.000000,9824600
2020-03-30,152.919998,152.919998,153.080002,151.570007,152.410004,12080900
2020-03-31,148.050003,148.050003,151.800003,147.970001,151.360001,13319500
2020-04-01,149.449997,149.449997,150.080002,147.850006,148.199997,11827400
2020-04-02,151.899994,151.899994,152.500000,150.699997,151.199997,9188300
2020-04-03,152.649994,152.649994,153.089996,151.660004,152.229996,8469100
2020-04-06,156.880005,156.880005,157.220001,153.960007,154.160004,14739300
2020-04-07,156.039993,156.039993,156.139999,154.380005,155.330002,9195400
2020-04-08,154.649994,154.649994,155.940002,154.589996,155.910004,7600800
2020-04-09,158.690002,158.690002,159.080002,157.210007,158.080002,18123000
2020-04-13,161.410004,161.410004,162.380005,158.630005,159.169998,20549200
2020-04-14,162.679993,162.679993,164.419998,161.779999,162.729996,17095100
2020-04-15,161.850006,161.850006,162.539993,160.809998,161.800003,12141900
2020-04-16,161.710007,161.710007,163.149994,160.649994,161.880005,9233200
2020-04-17,158.570007,158.570007,160.070007,158.119995,159.720001,14652700
2020-04-20,159.699997,159.699997,160.220001,158.460007,158.619995,10688700
2020-04-21,158.610001,158.610001,159.210007,157.039993,157.600006,12478100
2020-04-22,161.729996,161.729996,161.740005,160.419998,160.500000,12902100
