Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,23.508682,30.290001,30.334999,30.115000,30.219999,23889400
2020-01-03,23.438835,30.200001,30.655001,30.049999,30.565001,59005800
2020-01-06,23.621222,30.434999,30.590000,30.200001,30.305000,44916200
2020-01-07,23.559137,30.355000,30.385000,30.000000,30.350000,22925000
2020-01-08,23.171074,29.855000,30.360001,29.815001,30.325001,38042800
2020-01-09,23.341822,30.075001,30.105000,29.490000,29.840000,30733600
2020-01-10,23.209883,29.905001,30.084999,29.870001,30.059999,18302400
2020-01-13,23.217642,29.915001,30.010000,29.705000,29.860001,17557000
2020-01-14,23.221521,29.920000,29.955000,29.655001,29.850000,34678000
2020-01-15,23.050772,29.700001,29.879999,29.615000,29.790001,21661600
2020-01-16,23.089577,29.750000,29.975000,29.735001,29.875000,16449000
2020-01-17,22.942120,29.559999,29.844999,29.510000,29.830000,23818200
2020-01-21,22.530783,29.030001,29.400000,28.980000,29.395000,34709200
2020-01-22,22.313465,28.750000,28.995001,28.670000,28.975000,29355400
2020-01-23,22.228090,28.639999,28.730000,28.230000,28.450001,26556000
2020-01-24,21.971972,28.309999,28.639999,28.090000,28.510000,40781200
2020-01-27,21.362719,27.525000,27.850000,27.490000,27.740000,43365000
2020-01-28,21.459730,27.650000,27.820000,27.540001,27.680000,28600200
2020-01-29,21.234653,27.360001,27.905001,27.325001,27.805000,27490800
2020-01-30,21.405401,27.580000,27.610001,27.004999,27.075001,48861000
2020-01-31,20.737942,26.719999,27.190001,26.580000,27.115000,66861000
2020-02-03,20.466291,26.370001,26.725000,26.275000,26.684999,42578400
2020-02-04,20.540022,26.465000,26.959999,26.415001,26.750000,39639600
2020-02-05,21.312269,27.459999,27.555000,26.889999,26.905001,68764000
2020-02-06,21.094952,27.180000,27.590000,27.135000,27.590000,30801200
2020-02-07,20.947489,26.990000,27.105000,26.850000,26.975000,27386600
2020-02-10,20.842712,26.855000,26.915001,26.690001,26.850000,29281200
2020-02-11,21.075550,27.155001,27.260000,27.035000,27.219999,27689200
2020-02-12,21.358837,27.520000,27.674999,27.295000,27.559999,34399600
2020-02-13,21.292862,27.434999,27.590000,27.275000,27.445000,23949800
2020-02-14,21.180326,27.290001,27.549999,27.120001,27.530001,25040000
2020-02-18,21.005697,27.065001,27.285000,26.815001,27.049999,32629400
2020-02-19,21.285099,27.424999,27.535000,27.094999,27.245001,24910800
2020-02-20,21.261818,27.395000,27.700001,27.325001,27.495001,26101600
2020-02-21,21.009579,27.070000,27.160000,26.844999,27.135000,27616400
2020-02-24,20.039427,25.820000,26.200001,25.740000,26.049999,66075000
2020-02-25,19.154652,24.680000,25.910000,24.520000,25.889999,85674600
2020-02-26,18.576441,23.934999,24.889999,23.924999,24.770000,97656600
2020-02-27,17.583006,22.655001,23.764999,22.645000,23.315001,122557400
2020-02-28,17.567486,22.635000,22.920000,21.760000,21.940001,137511600
2020-03-02,18.277637,23.549999,23.580000,22.465000,23.139999,73285400
2020-03-03,17.718826,22.830000,23.995001,22.575001,23.684999,97190600
2020-03-04,18.137936,23.370001,23.375000,22.834999,23.320000,48969000
2020-03-05,17.474348,22.514999,22.805000,22.139999,22.700001,58774600
2020-03-06,16.492558,21.250000,21.945000,20.930000,21.750000,123034800
2020-03-09,13.170763,16.969999,18.215000,16.865000,17.535000,133113800
2020-03-10,13.795541,17.775000,18.410000,16.680000,18.334999,96862200
2020-03-11,13.065986,16.834999,17.525000,16.565001,17.225000,86954600
2020-03-12,11.436135,14.735000,16.000000,14.690000,15.595000,77658200
2020-03-13,12.491657,16.094999,16.110001,14.400000,15.980000,68196800
2020-03-16,10.791955,13.905000,15.560000,13.835000,13.975000,80467200
2020-03-17,10.865688,14.000000,14.590000,13.475000,14.040000,90887200
2020-03-18,9.305684,11.990000,13.290000,11.440000,13.020000,104271600
2020-03-19,9.938221,12.805000,12.855000,11.490000,12.165000,104453000
2020-03-20,10.035237,12.930000,13.420000,12.380000,13.130000,116714400
2020-03-23,9.351250,11.785000,12.645000,11.575000,12.565000,96520400
2020-03-24,10.850940,13.675000,13.745000,12.700000,12.700000,89022200
2020-03-25,11.362742,14.320000,15.000000,13.370000,13.975000,104869800
2020-03-26,12.057042,15.195000,15.500000,14.285000,14.465000,93836200
2020-03-27,11.239750,14.165000,14.605000,14.080000,14.560000,73056800
2020-03-30,11.354807,14.310000,14.435000,13.545000,13.975000,84254800
2020-03-31,11.529373,14.530000,15.000000,14.240000,14.710000,68701200
2020-04-01,10.958064,13.810000,14.240000,13.615000,14.060000,47653000
2020-04-02,11.961823,15.075000,15.880000,14.130000,14.505000,146256200
2020-04-03,11.834867,14.915000,15.655000,14.490000,15.550000,127668600
2020-04-06,12.461721,15.705000,15.810000,15.045000,15.250000,76041400
2020-04-07,12.727540,16.040001,16.934999,16.010000,16.480000,103019000
2020-04-08,13.576573,17.110001,17.165001,16.245001,16.379999,83811600
2020-04-09,13.453579,16.955000,18.230000,16.309999,17.770000,182655200
2020-04-13,13.409938,16.900000,17.610001,16.629999,17.545000,67685600
2020-04-14,13.346463,16.820000,17.190001,16.709999,16.985001,72648200
2020-04-15,12.719607,16.030001,16.190001,15.530000,16.150000,73421000
2020-04-16,12.176066,15.345000,16.040001,15.325000,15.990000,64605800
2020-04-17,13.469452,16.975000,16.995001,15.655000,15.665000,91706800
2020-04-20,13.048903,16.445000,17.049999,15.890000,15.975000,112790000
2020-04-21,12.818794,16.155001,16.450001,15.695000,15.970000,120861600
2020-04-22,13.275046,16.730000,16.995001,16.504999,16.885000,73753200
2020-04-23,13.703529,17.270000,17.674999,17.070000,17.240000,83207200
2020-04-24,13.735269,17.309999,17.770000,17.035000,17.615000,64859200
2020-04-27,14.032825,17.684999,17.809999,16.790001,17.180000,46576000
2020-04-28,14.354188,18.090000,18.200001,17.660000,17.950001,59138000
2020-04-29,15.417459,19.430000,19.495001,18.670000,18.684999,71075000
2020-04-30,15.076259,19.000000,19.540001,18.719999,19.540001,84040200
2020-05-01,14.223265,17.924999,18.750000,17.705000,18.610001,58531800
2020-05-04,14.715226,18.545000,18.559999,17.510000,17.594999,52780400
2020-05-05,14.727130,18.559999,19.459999,18.495001,19.305000,68733400
2020-05-06,14.342284,18.075001,18.809999,18.059999,18.650000,47350200
2020-05-07,14.715226,18.545000,18.895000,18.415001,18.584999,48469400
2020-05-08,15.385722,19.389999,19.400000,18.870001,18.980000,49646200
2020-05-11,15.115938,19.049999,19.315001,18.959999,19.260000,46531400
2020-05-12,14.850122,18.715000,19.264999,18.690001,19.240000,56129000
2020-05-13,14.175653,17.865000,18.615000,17.735001,18.590000,68994800
2020-05-14,14.334353,18.065001,18.235001,17.150000,17.549999,61968400
2020-05-15,14.278808,17.995001,18.445000,17.834999,18.070000,54427800
2020-05-18,15.445236,19.465000,19.590000,18.975000,19.025000,73139600
2020-05-19,15.012787,18.920000,19.549999,18.905001,19.490000,53940600
2020-05-20,15.611864,19.674999,19.709999,19.209999,19.309999,54521200
2020-05-21,15.361921,19.360001,19.815001,19.205000,19.735001,56241800
2020-05-22,15.266705,19.240000,19.260000,18.844999,19.205000,38495000
2020-05-26,15.691215,19.775000,19.980000,19.725000,19.855000,74888600
2020-05-27,15.893558,20.030001,20.180000,19.469999,20.065001,71225600
2020-05-28,15.449199,19.469999,20.080000,19.375000,20.080000,54356800
2020-05-29,15.377785,19.379999,19.525000,18.975000,19.299999,71500400
2020-06-01,15.647574,19.719999,19.830000,19.090000,19.350000,47680000
2020-06-02,16.083992,20.270000,20.290001,19.910000,19.934999,50318400
2020-06-03,16.556118,20.865000,20.959999,20.549999,20.590000,54601800
2020-06-04,16.560087,20.870001,20.950001,20.450001,20.750000,54849400
2020-06-05,17.789991,22.420000,22.625000,21.895000,21.915001,100393400
2020-06-08,18.591410,23.430000,23.440001,22.715000,23.235001,95069400
2020-06-09,17.893145,22.549999,22.745001,22.240000,22.680000,87399000
2020-06-10,17.012377,21.440001,22.360001,21.430000,22.340000,80977000
2020-06-11,15.409533,19.420000,20.520000,19.355000,19.945000,96304400
2020-06-12,15.798337,19.910000,20.420000,19.370001,20.275000,85635000
2020-06-15,15.845947,19.969999,20.174999,18.850000,19.059999,65694800
2020-06-16,16.302202,20.545000,20.950001,19.959999,20.920000,64083800
2020-06-17,15.746757,19.844999,20.469999,19.840000,20.465000,46736000
