Date,DTWEXBGS
2020-01-01,
2020-01-02,114.974500
2020-01-03,114.986700
2020-01-06,114.955700
2020-01-07,115.147700
2020-01-08,115.132800
2020-01-09,115.233100
2020-01-10,115.067700
2020-01-13,115.034200
2020-01-14,115.023900
2020-01-15,114.952800
2020-01-16,115.000600
2020-01-17,115.065600
2020-01-20,
2020-01-21,115.187600
2020-01-22,115.227300
2020-01-23,115.554500
2020-01-24,115.555600
2020-01-27,115.800400
2020-01-28,115.723900
2020-01-29,115.700300
2020-01-30,115.807700
2020-01-31,115.734500
2020-02-03,116.117200
2020-02-04,115.929100
2020-02-05,116.009000
2020-02-06,116.151800
2020-02-07,116.508600
2020-02-10,116.571100
2020-02-11,116.358500
2020-02-12,116.279400
2020-02-13,116.399900
2020-02-14,116.422300
2020-02-17,
2020-02-18,116.603900
2020-02-19,116.782900
2020-02-20,117.245400
2020-02-21,117.047300
2020-02-24,117.401800
2020-02-25,117.242500
2020-02-26,117.405000
2020-02-27,117.367800
2020-02-28,117.656800
2020-03-02,116.814400
2020-03-03,116.495800
2020-03-04,116.780200
2020-03-05,116.790100
2020-03-06,116.710600
2020-03-09,117.187100
2020-03-10,117.902700
2020-03-11,118.250500
2020-03-12,120.488300
2020-03-13,120.438800
2020-03-16,120.935200
2020-03-17,122.481600
2020-03-18,124.162300
2020-03-19,125.058700
2020-03-20,124.936200
2020-03-23,126.126200
2020-03-24,125.500100
2020-03-25,124.791600
2020-03-26,122.430800
2020-03-27,122.400700
2020-03-30,123.288300
2020-03-31,122.530100
2020-04-01,123.793300
2020-04-02,123.591600
2020-04-03,124.415200
2020-04-06,124.160000
2020-04-07,123.095600
2020-04-08,123.221600
2020-04-09,122.476000
2020-04-10,122.159200
2020-04-13,122.520300
2020-04-14,122.112100
2020-04-15,123.075200
2020-04-16,123.461500
2020-04-17,122.871000
2020-04-20,123.103300
2020-04-21,123.911600
2020-04-22,123.925600
2020-04-23,123.754200
2020-04-24,124.161500
2020-04-27,123.884300
2020-04-28,123.369300
2020-04-29,122.778200
2020-04-30,122.327000
2020-05-01,123.149200
2020-05-04,123.211700
2020-05-05,122.803000
2020-05-06,123.609000
2020-05-07,123.124900
2020-05-08,122.537900
2020-05-11,123.233300
2020-05-12,123.059200
2020-05-13,123.540800
2020-05-14,123.642900
2020-05-15,123.599100
2020-05-18,122.796800
2020-05-19,122.565500
2020-05-20,122.100700
2020-05-21,122.091400
2020-05-22,122.321100
2020-05-25,
2020-05-26,121.386400
2020-05-27,121.567700
2020-05-28,121.013800
2020-05-29,120.945800
2020-06-01,120.268600
2020-06-02,119.685400
2020-06-03,119.255600
2020-06-04,119.301400
2020-06-05,118.813800
2020-06-08,118.662100
2020-06-09,118.589300
2020-06-10,118.523100
2020-06-11,119.234700
2020-06-12,119.664500
2020-06-15,119.953900
2020-06-16,119.567000
2020-06-17,119.910500
2020-06-18,120.217300
2020-06-19,120.218600
2020-06-22,119.753200
2020-06-23,119.328500
2020-06-24,119.974400
2020-06-25,120.299700
2020-06-26,120.533000
2020-06-29,120.665800
2020-06-30,120.464900
2020-07-01,120.080800
2020-07-02,119.855500
2020-07-03,
2020-07-06,119.285200
2020-07-07,119.571700
2020-07-08,119.552500
2020-07-09,119.512900
2020-07-10,119.350900
2020-07-13,119.189100
2020-07-14,119.390100
2020-07-15,119.033100
2020-07-16,118.927500
2020-07-17,119.124000
2020-07-20,119.048300
2020-07-21,118.404200
2020-07-22,118.133700
2020-07-23,118.061300
2020-07-24,118.132900
2020-07-27,117.386900
2020-07-28,117.318900
2020-07-29,117.212600
2020-07-30,117.400800
2020-07-31,117.208200
2020-08-03,117.807400
2020-08-04,117.783300
2020-08-05,116.873600
2020-08-06,117.042200
2020-08-07,117.623900
2020-08-10,117.582100
2020-08-11,117.378100
2020-08-12,117.255900
2020-08-13,117.119300
2020-08-14,116.939500
2020-08-17,116.749000
2020-08-18,116.559300
2020-08-19,116.567000
2020-08-20,116.812600
2020-08-21,117.057200
2020-08-24,116.912000
2020-08-25,116.820600
2020-08-26,116.624300
2020-08-27,116.649000
2020-08-28,115.937400
2020-08-31,115.758600
2020-09-01,115.568700
2020-09-02,116.030400
2020-09-03,116.068500
2020-09-04,116.034700
2020-09-07,
2020-09-08,116.461800
2020-09-09,116.129100
2020-09-10,115.880600
2020-09-11,116.086600
2020-09-14,115.642800
2020-09-15,115.590800
2020-09-16,115.353700
2020-09-17,115.439200
2020-09-18,115.239500
2020-09-21,116.378000
2020-09-22,116.543800
2020-09-23,117.252600
2020-09-24,117.547300
2020-09-25,117.867900
2020-09-28,117.617800
2020-09-29,117.526000
2020-09-30,116.946000
2020-10-01,116.722700
2020-10-02,116.732100
2020-10-05,116.176700
2020-10-06,116.268100
2020-10-07,116.344700
2020-10-08,116.165700
2020-10-09,115.275700
2020-10-12,
2020-10-13,115.910700
2020-10-14,115.687200
2020-10-15,116.096400
2020-10-16,115.767900
2020-10-19,115.403100
2020-10-20,115.248500
2020-10-21,114.910800
2020-10-22,115.115800
2020-10-23,115.012600
2020-10-26,115.279700
2020-10-27,115.013100
2020-10-28,115.802300
2020-10-29,116.306900
2020-10-30,116.135400
2020-11-02,116.236100
2020-11-03,115.480200
2020-11-04,115.167700
2020-11-05,114.455600
2020-11-06,113.991900
2020-11-09,114.089500
2020-11-10,114.075700
2020-11-11,
2020-11-12,114.284300
2020-11-13,114.239700
2020-11-16,113.831200
2020-11-17,113.682000
2020-11-18,113.460000
2020-11-19,113.694000
2020-11-20,113.489000
2020-11-23,113.754800
2020-11-24,113.431600
2020-11-25,113.182300
2020-11-26,
2020-11-27,
2020-11-30,113.225600
2020-12-01,112.806300
2020-12-02,112.611500
2020-12-03,112.023600
2020-12-04,111.777800
2020-12-07,111.838500
2020-12-08,111.863900
2020-12-09,112.030500
2020-12-10,111.978800
2020-12-11,112.141700
2020-12-14,112.170800
2020-12-15,111.860100
2020-12-16,111.715700
2020-12-17,111.222600
2020-12-18,111.607100
2020-12-21,111.941500
