Date,DGS30
2021-01-01,
2021-01-04,1.660000
2021-01-05,1.700000
2021-01-06,1.810000
2021-01-07,1.850000
2021-01-08,1.870000
2021-01-11,1.880000
2021-01-12,1.880000
2021-01-13,1.820000
2021-01-14,1.880000
2021-01-15,1.850000
2021-01-18,
2021-01-19,1.840000
2021-01-20,1.840000
2021-01-21,1.870000
2021-01-22,1.850000
2021-01-25,1.800000
2021-01-26,1.800000
2021-01-27,1.790000
2021-01-28,1.810000
2021-01-29,1.870000
2021-02-01,1.840000
2021-02-02,1.870000
2021-02-03,1.920000
2021-02-04,1.930000
2021-02-05,1.970000
2021-02-08,1.960000
2021-02-09,1.950000
2021-02-10,1.920000
2021-02-11,1.940000
2021-02-12,2.010000
2021-02-15,
2021-02-16,2.080000
2021-02-17,2.060000
2021-02-18,2.080000
2021-02-19,2.140000
2021-02-22,2.190000
2021-02-23,2.210000
2021-02-24,2.240000
2021-02-25,2.330000
2021-02-26,2.170000
2021-03-01,2.230000
2021-03-02,2.210000
2021-03-03,2.250000
2021-03-04,2.300000
2021-03-05,2.280000
2021-03-08,2.310000
2021-03-09,2.260000
2021-03-10,2.240000
2021-03-11,2.290000
2021-03-12,2.400000
2021-03-15,2.370000
2021-03-16,2.380000
2021-03-17,2.420000
2021-03-18,2.450000
2021-03-19,2.450000
2021-03-22,2.380000
2021-03-23,2.340000
2021-03-24,2.310000
2021-03-25,2.340000
2021-03-26,2.370000
2021-03-29,2.430000
2021-03-30,2.380000
2021-03-31,2.410000
2021-04-01,2.340000
2021-04-02,2.350000
2021-04-05,2.360000
2021-04-06,2.320000
2021-04-07,2.350000
2021-04-08,2.320000
2021-04-09,2.340000
2021-04-12,2.340000
2021-04-13,2.320000
2021-04-14,2.320000
2021-04-15,2.230000
2021-04-16,2.260000
2021-04-19,2.290000
2021-04-20,2.270000
2021-04-21,2.260000
2021-04-22,2.240000
2021-04-23,2.250000
2021-04-26,2.240000
2021-04-27,2.290000
2021-04-28,2.290000
2021-04-29,2.310000
2021-04-30,2.300000
2021-05-03,2.300000
2021-05-04,2.270000
2021-05-05,2.250000
2021-05-06,2.240000
2021-05-07,2.280000
2021-05-10,2.320000
2021-05-11,2.350000
2021-05-12,2.400000
2021-05-13,2.390000
2021-05-14,2.350000
2021-05-17,2.360000
2021-05-18,2.370000
2021-05-19,2.380000
2021-05-20,2.340000
2021-05-21,2.330000
2021-05-24,2.310000
2021-05-25,2.260000
2021-05-26,2.270000
2021-05-27,2.290000
2021-05-28,2.260000
2021-05-31,
2021-06-01,2.300000
2021-06-02,2.280000
2021-06-03,2.300000
2021-06-04,2.240000
2021-06-07,2.250000
2021-06-08,2.210000
2021-06-09,2.170000
2021-06-10,2.150000
2021-06-11,2.150000
2021-06-14,2.190000
2021-06-15,2.200000
2021-06-16,2.200000
2021-06-17,2.110000
2021-06-18,2.010000
