Date,BAMLH0A0HYM2
2022-01-03,3.050000
2022-01-04,3.090000
2022-01-05,3.070000
2022-01-06,3.150000
2022-01-07,3.200000
2022-01-10,3.240000
2022-01-11,3.180000
2022-01-12,3.060000
2022-01-13,3.100000
2022-01-14,3.090000
2022-01-17,3.090000
2022-01-18,3.120000
2022-01-19,3.110000
2022-01-20,3.100000
2022-01-21,3.290000
2022-01-24,3.440000
2022-01-25,3.390000
2022-01-26,3.250000
2022-01-27,3.460000
2022-01-28,3.610000
2022-01-31,3.630000
2022-02-01,3.510000
2022-02-02,3.450000
2022-02-03,3.510000
2022-02-04,3.560000
2022-02-07,3.600000
2022-02-08,3.550000
2022-02-09,3.460000
2022-02-10,3.440000
2022-02-11,3.660000
2022-02-14,3.740000
2022-02-15,3.670000
2022-02-16,3.680000
2022-02-17,3.740000
2022-02-18,3.780000
2022-02-21,3.780000
2022-02-22,3.750000
2022-02-23,3.720000
2022-02-24,3.930000
2022-02-25,3.620000
2022-02-28,3.770000
2022-03-01,3.890000
2022-03-02,3.710000
2022-03-03,3.710000
2022-03-04,3.900000
2022-03-07,4.010000
2022-03-08,4.030000
2022-03-09,3.940000
2022-03-10,4.000000
2022-03-11,4.050000
2022-03-14,4.160000
2022-03-15,4.210000
2022-03-16,3.960000
2022-03-17,3.810000
2022-03-18,3.810000
2022-03-21,3.670000
2022-03-22,3.700000
2022-03-23,3.720000
2022-03-24,3.670000
2022-03-25,3.510000
2022-03-28,3.540000
2022-03-29,3.380000
2022-03-30,3.330000
2022-03-31,3.430000
2022-04-01,3.400000
2022-04-04,3.330000
2022-04-05,3.270000
2022-04-06,3.480000
2022-04-07,3.540000
2022-04-08,3.570000
2022-04-11,3.730000
2022-04-12,3.750000
2022-04-13,3.770000
2022-04-14,3.680000
2022-04-15,
2022-04-18,3.640000
2022-04-19,3.580000
2022-04-20,3.560000
2022-04-21,3.500000
2022-04-22,3.650000
2022-04-25,3.800000
2022-04-26,3.830000
2022-04-27,3.890000
2022-04-28,3.830000
2022-04-29,3.930000
2022-04-30,3.970000
2022-05-02,4.050000
2022-05-03,3.970000
2022-05-04,4.100000
2022-05-05,4.030000
2022-05-06,4.180000
2022-05-09,4.470000
2022-05-10,4.520000
2022-05-11,4.550000
2022-05-12,4.770000
2022-05-13,4.630000
2022-05-16,4.710000
2022-05-17,4.600000
2022-05-18,4.840000
2022-05-19,4.920000
2022-05-20,4.910000
2022-05-23,4.820000
2022-05-24,4.940000
2022-05-25,4.740000
2022-05-26,4.380000
2022-05-27,4.190000
2022-05-30,4.190000
2022-05-31,4.220000
2022-06-01,4.130000
2022-06-02,4.150000
2022-06-03,4.210000
2022-06-06,4.190000
2022-06-07,4.340000
2022-06-08,4.340000
2022-06-09,4.420000
2022-06-10,4.510000
2022-06-13,4.870000
2022-06-14,4.900000
2022-06-15,4.820000
2022-06-16,5.170000
2022-06-17,5.150000
2022-06-20,5.150000
2022-06-21,5.050000
2022-06-22,5.320000
2022-06-23,5.380000
2022-06-24,5.180000
2022-06-27,5.110000
2022-06-28,5.260000
2022-06-29,5.620000
2022-06-30,5.870000
2022-07-01,5.920000
2022-07-04,5.930000
2022-07-05,5.990000
2022-07-06,5.800000
2022-07-07,5.500000
2022-07-08,5.360000
2022-07-11,5.440000
2022-07-12,5.430000
2022-07-13,5.470000
2022-07-14,5.530000
2022-07-15,5.390000
2022-07-18,5.250000
2022-07-19,5.100000
2022-07-20,4.900000
2022-07-21,4.990000
2022-07-22,4.960000
2022-07-25,4.950000
2022-07-26,5.060000
2022-07-27,5.070000
2022-07-28,4.980000
2022-07-29,4.770000
2022-07-31,4.830000
2022-08-01,4.800000
2022-08-02,4.610000
2022-08-03,4.540000
2022-08-04,4.550000
2022-08-05,4.440000
2022-08-08,4.410000
2022-08-09,4.460000
2022-08-10,4.330000
2022-08-11,4.210000
2022-08-12,4.250000
2022-08-15,4.240000
2022-08-16,4.250000
2022-08-17,4.330000
2022-08-18,4.370000
2022-08-19,4.450000
2022-08-22,4.620000
2022-08-23,4.680000
2022-08-24,4.610000
2022-08-25,4.600000
2022-08-26,4.650000
2022-08-29,4.780000
2022-08-30,4.900000
2022-08-31,5.030000
2022-09-01,5.080000
2022-09-02,5.060000
2022-09-05,5.070000
2022-09-06,4.980000
2022-09-07,4.970000
2022-09-08,4.800000
2022-09-09,4.570000
2022-09-12,4.500000
2022-09-13,4.680000
2022-09-14,4.740000
2022-09-15,4.770000
2022-09-16,5.000000
2022-09-19,4.880000
2022-09-20,4.880000
2022-09-21,4.870000
2022-09-22,4.910000
2022-09-23,5.120000
2022-09-26,5.180000
2022-09-27,5.220000
2022-09-28,5.470000
2022-09-29,5.500000
2022-09-30,5.430000
2022-10-03,5.430000
2022-10-04,5.120000
2022-10-05,5.090000
2022-10-06,4.950000
2022-10-07,5.020000
2022-10-10,5.030000
2022-10-11,5.250000
2022-10-12,5.310000
2022-10-13,5.250000
2022-10-14,5.150000
2022-10-17,5.040000
2022-10-18,4.950000
2022-10-19,4.970000
2022-10-20,4.890000
2022-10-21,4.990000
2022-10-24,4.910000
2022-10-25,4.880000
2022-10-26,4.800000
2022-10-27,4.760000
2022-10-28,4.540000
2022-10-31,4.630000
2022-11-01,4.610000
2022-11-02,4.620000
2022-11-03,4.810000
2022-11-04,4.770000
2022-11-07,4.710000
2022-11-08,4.790000
2022-11-09,4.990000
2022-11-10,4.800000
2022-11-11,4.810000
2022-11-14,4.670000
2022-11-15,4.640000
2022-11-16,4.710000
2022-11-17,4.750000
2022-11-18,4.650000
2022-11-21,4.640000
2022-11-22,4.570000
2022-11-23,4.510000
2022-11-24,4.510000
2022-11-25,4.520000
2022-11-28,4.630000
2022-11-29,4.630000
2022-11-30,4.550000
2022-12-01,4.480000
2022-12-02,4.500000
2022-12-05,4.430000
2022-12-06,4.570000
2022-12-07,4.680000
2022-12-08,4.550000
2022-12-09,4.460000
2022-12-12,4.400000
2022-12-13,4.340000
2022-12-14,4.370000
2022-12-15,4.540000
2022-12-16,4.670000
2022-12-19,4.670000
2022-12-20,4.680000
2022-12-21,4.560000
2022-12-22,4.610000
2022-12-23,4.590000
2022-12-26,
2022-12-27,4.550000
2022-12-28,4.770000
2022-12-29,4.810000
2022-12-30,4.790000
2022-12-31,4.810000
