Date,Adj Close,Close,High,Low,Open,Volume
2024-01-02,25.277039,27.320000,27.330000,27.260000,27.290001,2109400
2024-01-03,25.360310,27.410000,27.469999,27.360001,27.420000,1222900
2024-01-04,25.360310,27.410000,27.430000,27.350000,27.420000,2839300
2024-01-05,25.360310,27.410000,27.440001,27.260000,27.430000,1082100
2024-01-08,25.314049,27.360001,27.389999,27.309999,27.379999,1193100
2024-01-09,25.397320,27.450001,27.480000,27.379999,27.389999,407200
2024-01-10,25.351057,27.400000,27.459999,27.389999,27.440001,1514800
2024-01-11,25.369562,27.420000,27.520000,27.379999,27.450001,1172800
2024-01-12,25.397320,27.450001,27.459999,27.350000,27.400000,849300
2024-01-16,25.619371,27.690001,27.709999,27.620001,27.629999,1061500
2024-01-17,25.637875,27.709999,27.790001,27.709999,27.750000,930100
2024-01-18,25.665630,27.740000,27.780001,27.730000,27.750000,2123700
2024-01-19,25.628624,27.700001,27.760000,27.690001,27.740000,1116600
2024-01-22,25.637875,27.709999,27.730000,27.660000,27.690001,2171700
2024-01-23,25.702642,27.780001,27.850000,27.750000,27.750000,996900
2024-01-24,25.628624,27.700001,27.709999,27.559999,27.570000,851100
2024-01-25,25.702642,27.780001,27.830000,27.719999,27.719999,1250900
2024-01-26,25.702642,27.780001,27.780001,27.709999,27.740000,1154700
2024-01-29,25.702642,27.780001,27.879999,27.770000,27.850000,1286200
2024-01-30,25.684137,27.760000,27.830000,27.730000,27.760000,460600
2024-01-31,25.748901,27.830000,27.860001,27.650000,27.709999,3424500
2024-02-01,25.619371,27.690001,27.840000,27.660000,27.809999,3755500
2024-02-02,25.850676,27.940001,27.969999,27.860001,27.879999,3216000
2024-02-05,25.989460,28.090000,28.129999,28.059999,28.059999,3422600
2024-02-06,25.915442,28.010000,28.110001,28.000000,28.100000,621700
2024-02-07,25.887686,27.980000,28.010000,27.959999,28.000000,849000
2024-02-08,25.915442,28.010000,28.080000,28.000000,28.059999,1686900
2024-02-09,25.896938,27.990000,28.030001,27.980000,28.020000,1118200
2024-02-12,25.924694,28.020000,28.070000,28.000000,28.030001,1127700
