Date,GLD,SPY,TLT,UUP,XLE
2020-01-31,0.005776,-0.018325,0.009088,-0.004177,-0.031678
2020-02-03,-0.006517,0.007401,-0.000810,0.004935,-0.013186
2020-02-04,-0.013094,0.015126,-0.013558,0.001513,0.003596
2020-02-05,0.001229,0.011482,-0.010995,0.003774,0.036908
2020-02-06,0.005374,0.003359,0.004496,0.001882,-0.010249
2020-02-07,0.002642,-0.005344,0.012401,0.002253,-0.007015
2020-02-10,0.002568,0.007437,0.002766,0.001499,-0.005014
2020-02-11,-0.003448,0.001732,-0.005054,-0.001124,0.011109
2020-02-12,-0.000813,0.006422,-0.005078,0.002621,0.013352
2020-02-13,0.005677,-0.001068,0.003828,0.001121,-0.003094
2024-12-17,-0.003846,-0.004128,0.002430,0.000992,-0.007477
2024-12-18,-0.019371,-0.030257,-0.012583,0.011508,-0.030003
2024-12-19,0.001420,-0.000307,-0.015257,0.001960,-0.008723
2024-12-20,0.010380,0.011939,0.005678,-0.004906,0.009793
2024-12-23,-0.004720,0.005970,-0.009215,0.003660,0.005856
2024-12-24,0.001990,0.011054,0.004220,0.002728,0.008424
2024-12-26,0.006728,0.000067,-0.000569,-0.002045,-0.000827
2024-12-27,-0.006894,-0.010582,-0.008233,-0.001707,-0.000118
2024-12-30,-0.003195,-0.011477,0.008005,0.001025,-0.000118
2024-12-31,0.006214,-0.003645,-0.005368,0.004429,0.013043
