Date,BAMLH0A0HYM2
2020-01-01,3.560000
2020-01-02,3.560000
2020-01-03,3.610000
2020-01-06,3.570000
2020-01-07,3.540000
2020-01-08,3.500000
2020-01-09,3.490000
2020-01-10,3.480000
2020-01-13,3.480000
2020-01-14,3.450000
2020-01-15,3.440000
2020-01-16,3.420000
2020-01-17,3.390000
2020-01-20,3.380000
2020-01-21,3.470000
2020-01-22,3.490000
2020-01-23,3.580000
2020-01-24,3.680000
2020-01-27,4.030000
2020-01-28,3.860000
2020-01-29,3.830000
2020-01-30,3.950000
2020-01-31,4.030000
2020-02-03,3.970000
2020-02-04,3.850000
2020-02-05,3.750000
2020-02-06,3.700000
2020-02-07,3.750000
2020-02-10,3.750000
2020-02-11,3.650000
2020-02-12,3.590000
2020-02-13,3.570000
2020-02-14,3.560000
2020-02-17,3.560000
2020-02-18,3.610000
2020-02-19,3.570000
2020-02-20,3.620000
2020-02-21,3.660000
2020-02-24,4.030000
2020-02-25,4.180000
2020-02-26,4.270000
2020-02-27,4.620000
2020-02-28,5.040000
2020-02-29,5.060000
2020-03-02,4.970000
2020-03-03,4.840000
2020-03-04,4.750000
2020-03-05,5.050000
2020-03-06,5.640000
2020-03-09,6.680000
2020-03-10,6.380000
2020-03-11,6.610000
2020-03-12,7.420000
2020-03-13,7.310000
2020-03-16,8.380000
2020-03-17,8.410000
2020-03-18,9.040000
2020-03-19,9.820000
2020-03-20,10.090000
2020-03-23,10.870000
2020-03-24,10.550000
2020-03-25,10.110000
2020-03-26,9.290000
2020-03-27,8.990000
2020-03-30,8.820000
2020-03-31,8.770000
2020-04-01,9.110000
2020-04-02,9.170000
2020-04-03,9.430000
2020-04-06,9.260000
2020-04-07,8.880000
2020-04-08,8.810000
2020-04-09,7.960000
2020-04-10,7.700000
2020-04-13,7.700000
2020-04-14,7.350000
2020-04-15,7.640000
2020-04-16,7.580000
2020-04-17,7.310000
2020-04-20,7.520000
2020-04-21,7.900000
2020-04-22,7.850000
2020-04-23,7.870000
2020-04-24,8.030000
2020-04-27,8.010000
2020-04-28,8.020000
2020-04-29,7.870000
2020-04-30,7.630000
2020-05-01,7.700000
2020-05-04,7.790000
2020-05-05,7.600000
2020-05-06,7.600000
2020-05-07,7.600000
2020-05-08,7.520000
2020-05-11,7.510000
2020-05-12,7.420000
