Date,DTWEXBGS
2025-01-01,129.459800
2025-01-02,129.459800
2025-01-03,129.453500
2025-01-06,128.538000
2025-01-07,128.613000
2025-01-08,129.078500
2025-01-09,129.282700
2025-01-10,129.866400
2025-01-13,130.041300
2025-01-14,129.381200
2025-01-15,129.209200
2025-01-16,129.436000
2025-01-17,129.485900
2025-01-20,128.415100
2025-01-21,128.415100
2025-01-22,128.340200
2025-01-23,128.216200
2025-01-24,127.461100
2025-01-27,128.091200
2025-01-28,128.281700
2025-01-29,128.341800
2025-01-30,128.100400
2025-01-31,128.482800
2025-02-03,129.109000
2025-02-04,128.108300
2025-02-05,127.975100
2025-02-06,128.201700
2025-02-07,128.429200
2025-02-10,128.638200
2025-02-11,128.432200
2025-02-12,128.328800
2025-02-13,127.893100
2025-02-14,127.149100
2025-02-17,127.290600
2025-02-18,127.290600
2025-02-19,127.731700
2025-02-20,127.112600
2025-02-21,127.140800
2025-02-24,127.192100
2025-02-25,127.375200
2025-02-26,127.282200
2025-02-27,127.970400
2025-02-28,128.280500
2025-03-03,127.750000
2025-03-04,127.996600
2025-03-05,126.504000
2025-03-06,126.109900
2025-03-07,125.981400
2025-03-10,126.268000
2025-03-11,126.045700
2025-03-12,125.866400
2025-03-13,126.003100
2025-03-14,125.694200
2025-03-17,125.368800
2025-03-18,125.488000
2025-03-19,125.800600
2025-03-20,125.985000
2025-03-21,126.267900
2025-03-24,126.195600
2025-03-25,126.053500
2025-03-26,126.236400
2025-03-27,126.362600
2025-03-28,126.418700
2025-03-31,126.707500
2025-04-01,126.433800
2025-04-02,126.381100
2025-04-03,124.731600
2025-04-04,125.812900
2025-04-07,126.828200
2025-04-08,126.866800
2025-04-09,126.628000
2025-04-10,125.089000
2025-04-11,124.016300
2025-04-14,123.659800
2025-04-15,123.776000
2025-04-16,123.272400
2025-04-17,123.129800
2025-04-18,122.986500
2025-04-21,122.314500
2025-04-22,122.417500
2025-04-23,123.025200
2025-04-24,122.925100
2025-04-25,122.885800
2025-04-28,122.717600
2025-04-29,122.594400
2025-04-30,122.592100
2025-05-01,123.140500
2025-05-02,122.496200
2025-05-05,122.261300
2025-05-06,122.041700
2025-05-07,122.117000
2025-05-08,122.756800
2025-05-09,122.519100
2025-05-12,123.486300
2025-05-13,122.958300
2025-05-14,122.674600
2025-05-15,122.817400
2025-05-16,123.073700
2025-05-19,122.418600
2025-05-20,122.319900
2025-05-21,121.749600
2025-05-22,122.042900
2025-05-23,121.383700
2025-05-26,121.609900
2025-05-27,121.609900
2025-05-28,121.988800
2025-05-29,121.561700
2025-05-30,121.767400
2025-06-02,121.188100
2025-06-03,121.459200
2025-06-04,121.053900
2025-06-05,120.959600
2025-06-06,121.161000
2025-06-09,120.910300
2025-06-10,121.048500
2025-06-11,120.587000
2025-06-12,120.172300
2025-06-13,120.324500
2025-06-16,120.156500
2025-06-17,120.504800
2025-06-18,120.730500
2025-06-19,121.040800
2025-06-20,121.040800
2025-06-23,121.169400
2025-06-24,120.364500
2025-06-25,120.333600
2025-06-26,119.645100
2025-06-27,119.659000
2025-06-30,119.408800
2025-07-01,119.343600
2025-07-02,119.303700
2025-07-03,119.238200
2025-07-04,119.620100
2025-07-07,119.620100
2025-07-08,119.837100
2025-07-09,119.731100
2025-07-10,119.834300
2025-07-11,119.921400
2025-07-14,120.220900
2025-07-15,120.510500
2025-07-16,120.417500
2025-07-17,120.638400
2025-07-18,120.356000
2025-07-21,119.996100
2025-07-22,119.681000
2025-07-23,119.569700
2025-07-24,119.566400
2025-07-25,119.985700
2025-07-28,120.614900
2025-07-29,120.967400
2025-07-30,121.404200
2025-07-31,121.721000
